# PicoScope Waveform
# Sampling Rate (Hz),9708
# X Axis Min,1500.0
# X Axis Max,9500.0
# Y Axis Min,0.0
# Y Axis Max,3.31

Sample,Voltage (V)
1027,0.022564102564102562
1028,0.022564102564102562
1029,0.021758241758241755
1030,0.021758241758241755
1031,0.02095238095238095
1032,0.021758241758241755
1033,0.02095238095238095
1034,0.02095238095238095
1035,0.020146520146520148
1036,0.020146520146520148
1037,0.020146520146520148
1038,0.019340659340659337
1039,0.020146520146520148
1040,0.019340659340659337
1041,0.019340659340659337
1042,0.018534798534798533
1043,0.017728937728937726
1044,0.020146520146520148
1045,0.017728937728937726
1046,0.017728937728937726
1047,0.017728937728937726
1048,0.016923076923076923
1049,0.016923076923076923
1050,0.016923076923076923
1051,0.016923076923076923
1052,0.01611721611721612
1053,0.01611721611721612
1054,0.01611721611721612
1055,0.01611721611721612
1056,0.01611721611721612
1057,0.01611721611721612
1058,0.01531135531135531
1059,0.01531135531135531
1060,0.01531135531135531
1061,0.01531135531135531
1062,0.01531135531135531
1063,0.014505494505494505
1064,0.014505494505494505
1065,0.014505494505494505
1066,0.014505494505494505
1067,0.013699633699633697
